Date,SST (°C),SLP (hPa),Wind Speed (m/s),SSH Anomaly (cm),Local Tide (cm)
2020-01-01,28.75,1009.2,6.1,4.97,5.04
2020-01-02,28.43,1010.4,5.51,5.03,4.890000000000001
2020-01-03,28.82,1010.0,6.2,4.2,4.26
2020-01-04,29.26,1010.2,5.15,5.37,5.3
2020-01-05,28.38,1008.5,6.51,5.14,5.12
2020-01-06,28.38,1010.0,6.24,5.4,5.62
2020-01-07,29.29,1011.0,6.13,3.84,4.27
2020-01-08,28.88,1012.9,6.49,5.84,6.02
2020-01-09,28.27,1011.9,6.83,4.94,4.800000000000001
2020-01-10,28.77,1014.3,6.51,5.44,5.630000000000001
2020-01-11,28.27,1008.5,5.08,4.58,4.92
2020-01-12,28.27,1011.7,5.36,5.25,5.23
2020-01-13,28.62,1010.4,5.69,4.58,4.65
2020-01-14,27.54,1014.4,6.01,4.75,4.85
2020-01-15,27.64,1008.4,6.26,5.77,5.71
2020-01-16,28.22,1008.3,5.64,4.92,5.15
2020-01-17,27.99,1008.8,6.09,5.09,5.17
2020-01-18,28.66,1005.8,5.62,5.35,5.529999999999999
2020-01-19,28.05,1008.9,5.69,5.2,5.12
2020-01-20,27.79,1008.5,5.3,5.06,5.069999999999999
2020-01-21,29.23,1010.3,5.54,5.15,5.390000000000001
2020-01-22,28.39,1010.7,5.32,5.96,5.99
2020-01-23,28.53,1013.8,5.51,4.98,5.430000000000001
2020-01-24,27.79,1011.9,6.53,5.08,5.1
2020-01-25,28.23,1008.8,5.53,5.42,5.56
2020-01-26,28.56,1008.2,7.32,5.44,5.73
2020-01-27,27.92,1011.0,6.25,5.47,5.29
2020-01-28,28.69,1007.4,6.09,5.26,5.01
2020-01-29,28.2,1013.7,5.57,4.54,4.33
2020-01-30,28.35,1012.4,6.35,5.65,6.0
2020-01-31,28.2,1009.1,5.71,4.54,4.53
2020-02-01,29.43,1006.6,6.06,5.12,5.73
2020-02-02,28.49,1012.7,7.28,4.7,4.69
2020-02-03,27.97,1009.8,5.95,4.97,5.109999999999999
2020-02-04,28.91,1012.5,6.57,5.13,5.54
2020-02-05,27.89,1006.8,5.65,5.13,5.63
2020-02-06,28.6,1008.8,5.98,5.17,5.68
2020-02-07,27.52,1010.0,6.89,5.65,5.99
2020-02-08,27.84,1010.1,5.69,5.18,5.4799999999999995
2020-02-09,28.6,1009.1,6.91,4.9,5.12
2020-02-10,28.87,1011.2,6.35,5.39,5.6499999999999995
2020-02-11,28.59,1007.9,5.72,5.48,5.470000000000001
2020-02-12,28.44,1009.7,6.32,4.51,4.45
2020-02-13,28.35,1010.2,6.49,5.24,5.34
2020-02-14,27.76,1011.0,6.31,5.28,5.3500000000000005
2020-02-15,28.14,1011.4,5.21,4.88,4.89
2020-02-16,28.27,1007.8,5.64,5.55,5.79
2020-02-17,29.03,1006.9,5.88,4.94,5.23
2020-02-18,28.67,1012.6,5.96,5.05,5.17
2020-02-19,27.62,1010.7,6.31,4.93,5.33
2020-02-20,28.66,1008.5,6.09,5.01,4.88
2020-02-21,28.31,1013.1,5.33,4.56,4.619999999999999
2020-02-22,28.16,1010.2,6.19,4.42,4.38
